shortname,source,reference,disc_ref,SpT,spt_ref,ra,dec,epoch,J_MKO,J_err,H_MKO,H_err,MKO_ref,W1_mag,W1_err,W2_mag,W2_err,W3_mag,W3_err,W4_mag,W4_err,WISE_ref,ch1_mag,ch1_err,ch2_mag,ch2_err,Spizter_ref,plx_mas,plx_err,muRA_masyr,muRA_err,muDEC_masyr,muDEC_err,astrometry_ref
0825+2805,WISEA J082507.37+280548.2,Schn15,Schneider+2015,Y0.5,Schneider+2015,126.280555,28.096544,2014.0,22.401,0.050,22.965,0.139,Schneider+2015,18.444,nan,14.578,0.060,11.660,nan,8.756,nan,Cutri+2013,17.327,0.062,14.651,0.02,Kirkpatrick+2019,155.8,2.4,-63.1,1.3,-232.8,1.2,Kirk19
0855-0714,WISE J085510.83-071442.5,Luhm14b,Luhman2014,≥Y4,Kirkpatrick+2019,133.787057,-7.244431,2014.0,-,-,-,-,-,19.805,0.424,13.704,0.033,11.143,0.126,-,-,Kirkpatrick+2019,17.470,0.066,13.923,0.016,Kirkpatrick+2019,438.9,3.0,-8118.9,1.9,679.3,1.9,Kirk19
1141-3326,WISEA J114156.67-332635.5,Tinn14,Tinney+2014,Y0,Leggett+2017,175.485224,-33.443233,2014.0,19.76,0.14,-,-,Tinney+2018,17.079,0.117,14.611,0.055,11.948,nan,8.981,nan,Cutri+2013,16.414,0.036,14.659,0.02,Kirkpatrick+2019,99.7,4.2,-904.4,2.3,-76.5,2.5,Kirk19
1206+8401,WISEA J120604.25+840110.5,Schn15,Schneider+2015,Y0,Schneider+2015,181.512532,84.019282,2014.0,20.354,0.029,21.069,0.071,Schneider+2015,18.734,nan,15.058,0.054,12.536,nan,8.838,nan,Cutri+2013,17.339,0.061,15.22,0.022,Schneider+2015,81.9,2.5,-575.0,1.3,-255.7,1.1,Kirk19
1405+5534,WISEP J140518.40+553421.5,Cush11,Cushing+2011,Y0.5pec,Schneider+2015,211.32247,55.572792,2014.0,21.06,0.06,21.41,0.08,Leggett+2013,18.765,0.396,14.097,0.037,12.204,0.263,8.981,nan,Cutri+2013,16.876,0.046,14.058,0.019,Schneider+2015,157.9,3.1,-2326.5,1.7,236.1,1.3,Kirk19
1541-2250,WISEP J154151.65-225025.2,Cush11,Cushing+2011,Y1,Schneider+2015,235.46406,-22.840555,2014.0,21.12,0.06,21.07,0.07,Leggett+2015,16.736,0.165,14.246,0.063,12.312,nan,8.892,nan,Cutri+2013,16.658,0.042,14.228,0.019,Schneider+2015,167.1,2.3,-901.2,1.2,-82.4,1.2,Kirk19
1639-6847,WISE J163940.83-684738.6,Tinn12,Tinney+2012,Y0pec,Schneider+2015,249.921745,-68.79728,2014.0,-,-,-,-,-,17.266,0.187,13.544,0.059,11.755,nan,8.585,nan,Cutri+2013,16.186,0.018,13.588,0.016,Kirkpatrick+2019,211.9,2.7,582.0,1.5,-3099.8,1.5,Kirk19
1738+2732,WISEP J173835.52+273258.9,Cush11,Cushing+2011,Y0,Cushing+2011,264.648439,27.549315,2014.0,20.05,0.09,20.45,0.03,Leggett+2013,17.71,0.157,14.497,0.043,12.448,0.399,8.939,nan,Cutri+2013,17.093,0.053,14.473,0.019,Schneider+2015,131.0,2.4,337.3,1.1,-338.1,1.1,Kirk19
1828+2650,WISEP J182831.08+265037.8,Cush11,Cushing+2011,≥Y2,Kirkpatrick+2012,277.130718,26.84401,2014.0,23.48,0.23,22.85,0.24,Leggett+2013,18.248,nan,14.353,0.045,12.444,0.338,8.505,nan,Cutri+2013,16.915,0.020,14.321,0.020,Kirkpatrick+2019,100.7,2.3,1017.5,1.0,174.5,1.0,Kirk19
2056+1459,WISEP J205628.90+145953.3,Cush11,Cushing+2011,Y0,Schneider+2015,314.121286,14.998666,2014.0,19.43,0.04,19.96,0.04,Leggett+2013,16.48,0.075,13.839,0.037,11.731,0.249,8.493,nan,Cutri+2013,16.031,0.030,13.923,0.018,Schneider+2015,138.3,2.2,823.2,1.0,534.1,1.0,Kirk19
2209+2711,WISE J220905.73+271143.9,Cush14,Cushing+2014,Y0,Cushing+2014,332.275276,27.194171,2014.0,22.58,0.14,22.98,0.31,Cushing+2014,18.831,nan,14.77,0.055,12.455,0.387,9.173,nan,Cutri+2013,17.815,0.087,14.739,0.02,Schneider+2015,161.6,2.4,1204.4,1.1,-1357.5,1.1,Kirk19
2220-3628,WISE J222055.31-362817.4,Kirk12,Kirkpatrick+2012,Y0,Kirkpatrick+2012,335.230876,-36.471641,2014.0,20.64,0.05,20.96,0.08,Leggett+2015,18.772,nan,14.714,0.056,12.292,nan,9.178,nan,Cutri+2013,17.200,0.057,14.736,0.021,Schneider+2015,97.0,2.4,286.8,1.2,-81.4,1.2,Kirk19
2354+0240,WISEA J235402.79+024014.1,Schn15,Schneider+2015,Y1,Schneider+2015,358.512041,2.670263,2014.0,23.068,0.199,22.882,0.300,Schneider+2015,18.263,nan,15.007,0.085,12.278,nan,8.949,nan,Cutri+2013,18.105,0.109,15.013,0.022,Schneider+2015,124.1,4.9,491.1,2.8,-393.1,3.0,Kirk19
