# %ECSV 1.0
# ---
# datatype:
# - {name: No Match, datatype: string}
# delimiter: ','
# schema: astropy-2.0
No Match
Gaia J041246.85-073416.8
Gaia J062317.14+263131.8
Gaia J064025.19-235219.4
Gaia J073408.90-433025.6
Gaia J115925.87-363449.6
Gaia J133139.36-651305.5
Gaia J164824.31-291310.0
Gaia J180706.22-062547.2
Gaia J183610.72+031524.6
2MASS J04134574+3709087
WISE J160018.05-454332.7
Gaia J171340.47-395211.8
Gaia J183118.29-073227.6
Gaia J195557.27+321518.2
WISE J212657.77+253059.9
CWISEP J100854.84+203136.6
CWISE J113019.19-115811.3
WISEA J153429.75-104303.3
CWISE J011558.74-461620.8
CWISE J011931.78-493750.4
CWISE J031021.61-573355.6
CWISE J051427.35+200447.7
CWISE J060149.45+141955.2
CWISE J060251.35-403534.4
CWISE J062050.79-300620.8
CWISE J062725.28-373033.1
CWISE J063031.50-600221.0
CWISE J064749.87-160022.7
CWISE J074956.20-682722.4
CWISE J080436.67-000028.6
CWISE J091735.38-634451.2
CWISE J095316.32-094318.9
CWISE J115229.37-374157.8
CWISE J131548.23-493645.4
CWISE J163041.79-064338.3
CWISE J165013.37+565257.0
CWISE J172617.09-484424.9
CWISE J200121.21-413606.8
CWISE J205834.45-513459.4
CWISE J234426.81-475502.6
CWISE J015349.89+613746.3
WISEA J041743.13+241506.3
2MASS J04250679-4255085
CWISE J061741.79+194512.8
CWISE J015042.24-462155.3
CWISE J021705.51+075849.9
CWISE J034146.12+471530.5
CWISEP J060132.96-592227.3
CWISE J063018.23-371734.3
CWISE J063558.52-322549.4
CWISE J063649.77-542429.2
CWISE J064128.15-312359.3
CWISE J075648.34-600130.9
CWISE J075831.11+571153.9
CWISE J081606.70+482822.9
CWISE J085401.22-502028.1
CWISE J093823.15-841114.4
CWISE J094925.88-102601.9
CWISE J121557.87+270154.2
CWISE J123228.86+225714.5
CWISE J130841.31-032157.7
CWISEP J135336.29-003756.6
2MASS J13550323-8258375
CWISEP J151521.22-215736.9
CWISE J174907.16+554050.3
CWISE J175517.35+250147.3
CWISE J175628.97+505328.5
CWISE J175800.46+555322.7
CWISE J182755.05+564507.8
CWISE J185104.34-245232.1
CWISE J193823.28+663602.7
CWISE J194201.42+534830.5
CWISE J195228.45-730049.4
WISEP J195550.11-441514.2
CWISE J201342.27-032643.7
CWISE J203859.15-570110.3
2MASS J01265549-5022388
2MASS J01270282-5023210
2MASS J12583501+4013083
2MASS J12583798+4014017
SDSS J132834.72+080819.0
Oph J1622-2405A
Oph J1622-2405B
SDSS J163126.15+294836.9
CWISE J014611.20-050850.0
CWISE J014610.99-050850.4
Cl* Melotte 22 PPL 15
[SCH2006] J16091837-20073523
SDSS J233558.51-001304.1
DENIS J185950.9-370632
Oph J1623-2402
2MASSW J2113029-100941
[NC98] Cha Ha 8
[MDM2001] CFHT-BD-Tau 18
[MDM2001] CFHT-BD-Tau 17
UScoCTIO 109
UScoCTIO 66
UScoCTIO 55
[SS94] V410 X-ray 3
MHO 8
Cl* Melotte 22 CFHT 19
Cl* Melotte 22 IPMBD 25
Cl* Melotte 22 CFHT 12
Cl* Melotte 22 CFHT 18
WT 460
LP 714-37 B
LP 475-855
2MASS J05350136-0524132
2MASS J05345805-0529405
2MASS J05350739-0525481
2MASS J05351676-0517167
2MASS J05351404-0525499
2MASS J05350313-0525364
2MASS J05350957-0519426
2MASS J05351624-0528337
LSR J0124+6819
2MASSW J0140026+270150
DENIS J023549.5-071121
2MASP J0339527+245728
2MASS J03571999+4107426
LEHPM 3833
LSR J0455+5252
LSR J0721+3714
LSPM J0852+2540
LP 606-35
LSPM J1128+0141
LSPM J1158+3953
DENIS J123217.8-685600
2MASS J15402966-2613422
DENIS J163313.1-755322
V* V1274 Her
LSPM J1845+0711
2MASS J21511011-1141181
2MASS J22010456+2413016
2MASSI J2234138+235956
2MASSI J1144050+604348
2MASSW J1054119-850502
APMPM J0207-3722
G 9-38A
G 9-38B
G 240-23
LEHPM 1563
LEHPM 2-90
LP 12-440
G 69-47
LP 258-51
LP 373-53
LP 169-6
LP 35-347
LP 495-25
LP 322-288
LP 316-400
LP 275-74
LP 822-7
LP 222-65
LP 245-10
LP 264-45
LP 584-4
LP 658-106
LP 702-50
2MASP J1524248+292535
LP 546-37
LP 495-189
LP 399-193A
LP 399-193B
LP 583-21
LP 908-68
SCR J0702-6102
SCR J1546-5534
SDSS J040921.85-060518.6
SDSS J091130.53+224810.7
LP 326-21
SDSS J154455.20+330145.1
SIPS J1259-4336
SSSPM J0027-5402
SSSPM J2052-4759
UPM J1055-7356
G 100-28
WISE J17395322+5532451
WISE J213512.63+731236.8
HD 206893B
HD 206893c
GJ 3629 B
2MASS J15594729+4403595 B
2MASS J00150673+3006004
ULAS J002136.01+155227.3
2MASS J01165802+4333081
2MASS J01183399+1810542
2MASS J01394906+3427226
2MASS J01414428+2227409
WISEA J020229.29+230513.9
WISEA J022721.93+235654.3
CWISE J031042.59+204629.3
WISEA J032838.73+015517.7
2MASS J03302948+3910242
CWISE J033817.87+171744.1
WISEA J034409.71+013641.5
SDSS J034652.97+092527.4
2MASS J03492367+0635078
2MASS J03530419+0418193
PSO J058.9869+45.4296
WISEA J041232.77+104408.3
2MASS J04183483+2131275
CWISE J041953.55+203628.0
WISEA J042231.34+081012.7
2MASS J04234652+0843211
2MASS J04241856+0637448
CWISE J042731.38+074344.9
CWISE J043018.70+105857.1
WISEA J043642.75+190134.8
2MASS J04380349+0700551
CWISE J043941.41+202514.8
WISEA J044105.56+213001.5
CWISE J045821.05+053244.5
CWISE J050626.96+073842.4
CWISE J053204.60+111955.1
WISEA J053424.45+165255.0
WISEA J062858.69+345249.2
WISEA J063552.52+514820.4
2MASS J07244848+2506143
SDSS J073050.99+461459.5
SDSS J073402.85+313450.7
SDSS J073745.38+462044.8
SDSS J074313.34+151020.8
SDSS J074912.70+200559.0
SDSS J074913.84+314340.0
SDSS J075128.09+345323.4
SDSS J075215.94+454746.2
SDSS J075236.47+170725.1
SDSS J075246.31+382429.0
SDSS J075414.03+431534.1
2MASS J07552723+1138485
SDSS J075725.19+484427.4
SDSS J080004.17+462732.6
SDSS J080429.15+402759.7
SDSS J081132.87+485532.9
SDSS J081439.92+562857.2
SDSS J081554.27+484018.9
SDSS J081740.85+363019.4
SDSS J081828.75+430639.8
SDSS J081948.63+442538.7
SDSS J082213.75+510120.2
SDSS J082239.18+511222.7
SDSS J082401.74+461320.4
SDSS J082422.21+105858.2
SDSS J082502.70+172249.6
SDSS J082509.64+122434.3
2MASS J08270185+4129191
SDSS J082911.91+471355.7
SDSS J083240.53+335713.1
SDSS J083629.70+100651.8
SDSS J084135.31+455442.0
SDSS J084201.68+440725.8
SDSS J084457.38+120825.4
SDSS J084519.34+542031.7
SDSS J084951.89+555903.4
SDSS J085637.49+374614.1
SDSS J090031.75+190714.5
SDSS J090051.84+520512.1
2MASS J09053247+1339138
SDSS J090757.81+143642.9
2MASS J09083688+5526401
SDSS J090847.02+523230.7
SDSS J091136.57+143244.4
SDSS J091215.18+453447.7
SDSS J091655.37+465349.6
SDSS J091816.02+481300.4
SDSS J091934.26+493957.2
SDSS J091956.15+393419.1
SDSS J092308.93+182553.9
SDSS J092441.88+122301.3
SDSS J092610.28+434322.9
2MASS J09325053+1836485
SDSS J093756.58+203353.7
SDSS J093907.38+462952.4
SDSS J094037.30+354218.0
SDSS J094157.53+533442.3
SDSS J094522.05+474558.0
2MASS J09481259+5300387
SDSS J095041.44+480904.4
TVLM 262-47735
SDSS J100236.25+460420.4
SDSS J100912.71+461056.2
SDSS J101929.15+171205.7
SDSS J102616.36+423320.8
SDSS J102628.39+295436.0
2MASS J10265851+2515262
2MASS J10271549+5445175
SDSS J103115.68+525853.5
SDSS J103143.09+524558.7
SDSS J103806.71+462617.3
SDSS J103855.06+215626.5
SDSS J104001.90+432131.8
2MASS J10524963+1858151
SDSS J105251.02+531147.1
2MASS J10551343+2504028
SDSS J105649.79+232841.7
2MASS J10592523+5659596
SDSS J110123.76+482350.8
WISEA J110125.95+540052.8
SDSS J110443.47+162435.6
SDSS J111142.61+461809.1
SDSS J111320.60+551121.9
SDSS J111423.85+402624.6
SDSS J111723.26+395813.1
SDSS J111741.17+450947.0
2MASS J11282763+5934003
WISEA J112859.45+511016.8
SDSS J112912.12+380612.2
SDSS J113013.86+275049.1
SDSS J113135.64+382941.6
SDSS J113148.24+245848.8
SDSS J113552.80+364022.8
SDSS J113657.62+392703.4
SDSS J113725.84+391752.9
SDSS J113858.24+301712.9
SDSS J113910.15+353824.0
SDSS J115711.10+533741.3
SDSS J115921.22+204553.4
WISEA J120104.57+573004.2
2MASS J12023885+5345384
SDSS J120308.77+373422.9
SDSS J120319.88+473951.7
SDSS J120815.92+405629.9
SDSS J121142.17+513851.1
SDSS J121758.67+340004.5
2MASS J12260640+1756293
SDSS J122718.42+491158.5
SDSS J123034.66+324534.5
2MASS J12352675+4124310
2MASS J12453705+4028456
SDSS J125108.28+155911.1
2MASS J13064517+4548552
SDSS J131633.79+573549.1
SDSS J131748.68+183644.1
SDSS J131835.71+423950.8
WISEA J131845.58+362614.0
SDSS J132451.76+180352.1
2MASS J13264464+3627407
SDSS J133316.06+374421.7
2MASS J13451417+4757231
SDSS J134526.65+451128.3
SDSS J135523.24+404742.2
SDSS J135648.89+551855.2
SDSS J140604.28+313115.6
SDSS J141152.69+555927.2
2MASS J14124574+3403074
SDSS J141800.47+173850.0
WISEA J143211.17+324433.8
SDSS J143322.33+405458.3
2MASS J14554511+3843329
SDSS J145836.57+274127.3
SDSS J150202.34+522958.7
2MASS J15025475+5044252
2MASS J15163838+3333576
SDSS J151950.74+223737.1
2MASS J15202471+2203340
SDSS J152909.60+452718.1
WISEA J153358.52+475706.9
SDSS J153636.66+430818.0
SDSS J153837.87+395630.6
SDSS J154050.42+260244.0
SDSS J154340.87+182732.7
SDSS J154644.26+114005.6
2MASS J15500191+4500451
SDSS J155221.56+331009.0
2MASS J15543602+2724487
SDSS J155438.45+193906.7
2MASS J15552840+5918155
2MASS J15565004+1449081
SDSS J160054.34+095310.7
2MASS J16095469+1426422
SDSS J161049.15+354316.1
SDSS J162643.31+230611.7
SDSS J163028.63+543058.6
SDSS J163304.13+115519.3
SDSS J163425.24+193657.1
SDSS J163437.19+233620.5
SDSS J163752.16+254325.1
SDSS J164245.38+191002.3
SDSS J165103.66+292248.0
SDSS J165950.91+351508.0
SDSS J170029.86+334858.0
SDSS J170331.31+330553.4
2MASS J17120142+3108217
WISEA J171454.88+064349.8
2MASS J17153111+1054108
2MASS J17164469+2302220
SDSS J171726.42+255740.8
SDSS J171822.99+360402.8
SDSS J171917.83+293530.2
SDSS J172632.94+245831.0
2MASS J17440969+5135032
WISEA J174634.81+510011.0
2MASS J17570962+4325139
HD 164507B
WISEA J180839.55+070021.7
WISEA J184202.04+210428.7
WISEA J190722.56+472745.3
V478 Lyr C
2MASS J22035781+0713492
2MASS J22295358+1556180
SDSS J230134.21+144219.6
2MASS J23253519+4608098
2MASS J23313131+2041273
LSPM J2049+3216W
20 LMi B
NLTT 19472
NLTT 28453
LSPM J0942+2351
PM I11055+4331
2MASS J03184214+0828002
NLTT 36549
YSES 1 b
YSES 1 c
YSES 2 b
2MASS J04372171+2651014 b
HIP 81208 Cb
HIP 81208 B
AF Lep b
HD 72946 B
HIP 64892 B
HD 13724 B
HD 4747 B
HR 3549 B
b Cen (AB) b
2MASS J02155892-0929121 C
HD 4113 C
CFHTWIR-Oph 98 AB
HD 33632 Ab
HD 2562 B
SSSPM J2003-4433
HIP 99770 b
USco1621 B
USco1556 B
MWC 758 b
AB Aur b
Gl 105 C
WISEA J041451.67-585456.7
CWISE J052306.42-015355.4
WISEA J155349.96+693355.2
HIP 75056 A b
mu.02 Sco b
2MASS J15551027-3455045
Gaia DR2 6014269268967059840
CD-28 8692 B
2MASS J01390900+8109597
2MASS J01385967+8110079
LT UMa B
2MASS J23253550+4608163
2MASS J00065552+0236376
2MASS J00501561+1012431
2MASS J01341675-0546530
2MASS J01392388-1845029
2MASS J02151451+0453179
2MASS J04214620-0025072
2MASS J08443811+2226161
2MASS J13042886-0032410
2MASS J15442544+0750572
2MASS J00100480-0930519
2MASS J01114355+2820024
2MASS J09194512+5135149
2MASS J13170488+3447513
2MASS J14313545-0313117
2MASS J15525579+1123523
2MASS J21123034+0758505
2MASS J22582325+2906484
2MASS J00082822+3125581
2MASS J00133470+1109403
2MASS J00452972+4237438
2MASS J01145788+4318561
2MASS J01194279+1122427
2MASS J01412651+1001339
2MASS J01442482-0430031
2MASS J02314893+4521059
2MASS J11060459-1907025
2MASS J14193789+3333326
2MASS J23004298+0200145
2MASS J23053808+0524070
2MASS J00062250+1300451
2MASS J01001471-0301494
2MASS J01343635-0145444
2MASS J03511847-1149326
2MASS J04232191-0803051
2MASS J04510592+0014394
2MASS J11213919-1053269
2MASS J12492272+0310255
2MASS J16123860+3126489
2MASS J16194822-0425366
2MASS J22545900-0330590
WISEA J002050.25-151913.1
WISEA J003052.08-380829.6
WISEA J010738.75-131413.7
WISEA J013556.99-620245.5
WISEA J022609.16-161000.4
WISEA J023749.81-260543.8
WISEA J025954.88-314655.6
WISEA J032049.31-532656.7
WISEA J032440.23-191905.6
WISEA J043718.77-550944.0
WISEA J045900.42-285338.3
WISEA J050259.73-610206.1
WISEA J055959.30-583546.0
WISEA J072352.62-330943.5
WISEA J082624.09-601202.8
WISEA J130523.06-395104.9
WISEA J145642.68+645009.7
WISEA J201204.11+672608.0
WISEA J201530.67-421542.5
WISEA J201826.00-332207.3
WISEA J204902.80-745613.5
WISEA J225333.00-253948.0
WISEA J232307.08+054113.0
WISEA J233333.46+025128.4
2MASS J07180871-6415310
2MASS J09512690-8023553
WISEA J000458.47-133655.1
WISEA J000536.63-263311.8
WISEA J000856.39-281321.7
WISEA J010134.83+033616.0
WISEA J010631.20-231415.1
WISEA J011049.18+192000.1
WISEA J033346.88+385152.6
WISEA J034858.75-562017.8
WISEA J041353.96-202320.3
WISEA J054455.54+063940.3
WISEA J061429.77+383337.5
WISEA J085039.11-022154.3
WISEA J085633.87-181546.6
WISEA J092453.76+072306.0
WISEA J094812.21-290329.5
WISEA J101944.62-391151.6
WISEA J103534.63-071148.2
WISEA J112158.76+004412.3
WISEA J120751.17+302808.9
WISEA J121231.97-050750.7
WISEA J121914.75+081027.0
WISEA J122042.20+620528.3
WISEA J124516.66+601607.5
WISEA J133520.09-070849.3
WISEA J134359.71+634213.1
WISEA J143942.79-110045.4
WISEA J144056.64-222517.8
WISEA J145645.54-103343.5
WISEA J155225.22+095155.5
WISEA J171105.08-275531.7
WISEA J182010.20+202125.8
WISEA J183654.10-135926.2
WISEA J191011.03+563429.3
WISEA J201252.78+124633.3
WISEA J215550.34-195428.4
WISEA J223444.44-230916.1
WISEA J230743.63+052037.3
WISEA J234404.85-250042.2
CWISE J040136.03+144454.6
CWISE J041424.22+093223.5
CWISE J044603.23+175930.8
CWISE J044747.32+082552.0
CWISE J045712.03+183344.1
WISEA J145725.71+234124.8
WISEA J101329.72-724619.2
WISEA J141143.25-452418.4
WISEA J161417.08-815111.9
WISEA J194152.72-020856.5
WISEA J124135.42-245748.9
WISEA J223006.48-272007.9
WISEA J150712.17+603038.5
WISEA J200756.41+700100.5
WISEA J175839.18-583931.9
WISEA J000538.83+020951.2
WISEA J140458.33-472632.2
WISEA J030933.60-135431.4
WISEA J212021.16+265218.7
WISEA J161519.28+033601.8
WISEA J124014.80+204752.7
WISEA J063228.30+264347.3
WISEA J121830.24+114012.9
WISEA J154225.49-100708.5
WISEA J200825.00+703058.5
WISEA J234441.89+131243.3
WISEA J005122.35-225133.5
WISEA J122355.12+551050.3
WISEA J232404.34+161721.9
WISEA J011157.18+121132.5
WISEA J145408.03+005325.7
WISEA J023119.81+281144.4
WISEA J174344.00+631322.7
WISEA J050750.72-034245.8
WISEA J055929.26+584414.7
WISEA J194023.28+634602.5
WISEA J120146.62-132404.8
WISEA J033613.83+001011.0
WISEA J225830.54-260110.9
WISEA J213409.15+713236.1
ULAS J012947.35+151143.1
ULAS J000509.42+101407.7
ULAS J000844.34+012729.4
ULAS J012252.58+043735.3
ULAS J083346.88+001248.0
VIK  J091641.18-010911.5
ULAS J105131.80+025751.0
VHS  J132141.70-092446.2
ULAS J135950.14+062553.9
WISEA J025805.29-321917.4
HD 176535 B
MHObd3
UGCS J034334.48+255730.5
Roque 7
BRB 4
BRB 27
PLZJ 61
SI2M-10
SI2M-16
Roque 13
SI2M-28
SI2M-37
CFHT-PL-11
UGCS J034815.64+255008.9
HHJ 3
SI2M-54
PLZJ 21
Teide 2
CFHT-PL-6
CFHT-PL-25
CFHT-PL-15
SI2M-1
SI2M-5
MHO11
Lodieu 359
UGCS J035129.46+240037.3
CFHT-Pl1
CFHT-Pl2
PLZJ 37
HHJ 2
HHJ 6
CFHT-Pl17
Roque 5
CFHT-PL10
PPL 14
MHObd 1
IPMBD29
CFHT-PL19
Calar 18
Calar 20
Roque 14
Calar 21
NPL 26
Roque 11
Roque 17
Calar 16
NPL 38
PPL 15
NPL 36
Calar 5
Calar 2
PLZJ 23
CFHT 12
PLZJ 93
BPL 327
HHJ 7
CFHT-Pl7
SI2M-25
SI2M-33
SI2M-52
BD+60 1417B
